date,lay,liquidate,miser,owe,recession
2004-09-12,42.9369682802,0.0,1.47758715862,0.0,0.0
2004-09-13,36.8031156687,0.0,1.84698394828,5.78333378578,2.59415434011
2004-09-14,63.7920671591,0.0,2.58577752759,0.0,2.59415434011
2004-09-15,51.5243619362,0.0,1.84698394828,1.92777792859,0.0
2004-09-16,50.2975914139,0.0,0.738793579312,0.0,2.59415434011
2004-09-17,47.8440503693,0.0,1.10819036897,3.85555585718,3.89123151016
2004-09-18,40.4834272356,0.0,0.0,2.89166689289,0.0
2004-09-19,71.1526902928,0.0,0.0,0.0,5.18830868022
2004-09-20,44.1637388025,0.0,0.738793579312,5.78333378578,2.59415434011
2004-09-21,52.7511324585,0.0,0.0,1.92777792859,9.07954019038
2004-09-22,31.8960335796,0.0,2.58577752759,1.92777792859,6.48538585027
2004-09-23,41.7101977579,0.0,1.84698394828,3.85555585718,2.59415434011
2004-09-24,50.2975914139,0.0,1.84698394828,0.0,6.48538585027
2004-09-25,85.8739365603,0.0,0.0,6.74722275007,0.0
2004-09-26,47.8440503693,0.0,0.0,0.0,10.3766173604
2004-09-27,45.5683236819,0.0,2.58577752759,1.64855612544,12.9707717005
2004-09-28,69.3431012551,0.0,0.738793579312,5.76994643905,9.07954019038
2004-09-29,47.5495551463,0.0,3.69396789656,0.0,2.59415434011
2004-09-30,38.6340135564,0.0,0.738793579312,5.76994643905,6.48538585027
2004-10-01,60.4275596651,0.0,1.10819036897,0.0,3.89123151016
2004-10-02,41.605860753,0.0,2.95517431725,0.0,5.18830868022
2004-10-03,43.5870922175,0.0,0.0,0.0,5.18830868022
2004-10-04,36.652782092,0.0,0.0,1.64855612544,0.0
2004-10-05,24.7653933054,0.0,0.738793579312,1.64855612544,9.07954019038
2004-10-06,50.521402343,0.0,0.738793579312,0.0,9.07954019038
2004-10-07,73.3055641839,0.0,2.58577752759,0.0,6.48538585027
2004-10-08,41.605860753,0.0,1.84698394828,0.0,14.2678488706
2004-10-09,34.6715506275,0.0,0.0,0.0,28.5356977412
2004-10-10,62.4087911296,0.0,1.47758715862,0.0,5.18830868022
2004-10-11,56.4650967363,0.0,0.0,5.76994643905,0.0
2004-10-12,88.1648001672,0.0,0.0,0.0,25.9415434011
2004-10-13,40.6152450208,0.0,1.10819036897,0.0,20.7532347209
2004-10-14,26.7466247698,0.0,2.58577752759,0.0,6.48538585027
2004-10-15,40.6152450208,0.0,0.0,4.12139031361,6.48538585027
2004-10-16,65.3806383262,0.0,0.0,3.29711225089,22.0503118909
2004-10-17,68.3524855228,0.0,0.0,0.0,0.0
2004-10-18,27.737240502,0.0,2.58577752759,1.64855612544,2.59415434011
2004-10-19,66.3712540584,0.0,1.84698394828,1.64855612544,2.59415434011
2004-10-20,36.652782092,0.0,0.738793579312,4.12139031361,11.6736945305
2004-10-21,30.7090876987,0.0,0.0,1.64855612544,9.07954019038
2004-10-22,65.3806383262,0.0,1.84698394828,2.47283418816,0.0
2004-10-23,56.4650967363,0.0,2.95517431725,0.0,0.0
2004-10-24,54.4838652718,0.0,1.47758715862,6.59422450177,0.0
2004-10-25,45.5683236819,0.0,0.0,1.64855612544,6.48538585027
2004-10-26,42.5964764853,0.0,3.3245711069,1.64855612544,2.59415434011
2004-10-27,45.5683236819,0.0,1.84698394828,0.0,9.07954019038
2004-10-28,56.4650967363,0.0,1.84698394828,4.12139031361,9.07954019038
2004-10-29,52.5026338074,0.0,0.0,0.0,0.0
2004-10-30,53.4932495396,0.0,4.43276147587,0.0,7.78246302033
2004-10-31,52.5026338074,0.0,1.47758715862,3.29711225089,10.3766173604
2004-11-01,47.5495551463,0.0,2.58577752759,1.64855612544,6.48538585027
2004-11-02,67.3618697906,0.0,1.47758715862,1.64855612544,5.18830868022
2004-11-03,62.4087911296,0.0,2.58577752759,5.76994643905,2.59415434011
2004-11-04,45.5683236819,0.0,0.0,0.0,18.1590803808
2004-11-05,56.4650967363,0.0,0.738793579312,1.64855612544,0.0
2004-11-06,62.4087911296,0.0,1.47758715862,6.59422450177,5.18830868022
2004-11-07,47.5495551463,0.0,1.47758715862,0.0,5.18830868022
2004-11-08,79.2492585772,0.0,3.3245711069,0.0,0.0
2004-11-09,0.0,0.0,0.0,0.0,0.0
2004-11-10,42.5964764853,0.0,3.3245711069,0.0,15.5649260407
2004-11-11,65.3806383262,0.0,0.738793579312,0.0,0.0
2004-11-12,41.605860753,0.0,0.0,0.0,0.0
2004-11-13,50.521402343,0.0,1.47758715862,3.29711225089,0.0
2004-11-14,53.4932495396,0.0,4.43276147587,0.0,10.3766173604
2004-11-15,66.3712540584,0.0,0.0,0.0,2.59415434011
2004-11-16,54.4838652718,0.0,0.0,7.41850256449,11.6736945305
2004-11-17,42.5964764853,0.0,2.58577752759,5.76994643905,2.59415434011
2004-11-18,42.5964764853,0.0,0.738793579312,1.64855612544,6.48538585027
2004-11-19,82.2211057739,0.0,0.0,0.0,0.0
2004-11-20,41.605860753,0.0,0.0,0.0,0.0
2004-11-21,51.5120180752,0.0,1.47758715862,3.29711225089,0.0
2004-11-22,48.5401708785,0.0,0.738793579312,1.64855612544,5.18830868022
2004-11-23,57.4557124685,0.0,0.0,5.76994643905,9.07954019038
2004-11-24,42.5964764853,0.0,1.10819036897,4.12139031361,3.89123151016
2004-11-25,48.5401708785,0.0,1.47758715862,0.0,0.0
2004-11-26,46.5589394141,0.0,0.0,3.29711225089,0.0
2004-11-27,77.2680271128,0.0,0.0,6.59422450177,5.18830868022
2004-11-28,86.1835687027,0.0,0.0,6.59422450177,0.0
2004-11-29,40.6152450208,0.0,3.3245711069,1.64855612544,7.78246302033
2004-11-30,52.5026338074,0.0,4.06336468621,4.94566837633,2.59415434011
2004-12-01,41.605860753,0.0,0.738793579312,1.64855612544,9.07954019038
2004-12-02,52.5026338074,0.0,1.47758715862,5.76994643905,5.18830868022
2004-12-03,46.5589394141,0.0,3.3245711069,5.76994643905,9.07954019038
2004-12-04,47.5495551463,0.0,1.47758715862,5.76994643905,9.07954019038
2004-12-05,57.4557124685,0.0,10.7125069,0.0,5.18830868022
2004-12-06,50.521402343,0.0,2.21638073793,10.7156148154,7.78246302033
2004-12-07,44.5777079497,0.0,2.95517431725,6.59422450177,12.9707717005
2004-12-08,58.4463282007,0.0,1.47758715862,1.64855612544,9.07954019038
2004-12-09,55.4744810041,0.0,2.21638073793,3.29711225089,7.78246302033
2004-12-10,59.4369439329,0.0,4.43276147587,0.0,6.48538585027
2004-12-11,36.652782092,0.0,2.58577752759,9.06705868993,0.0
2004-12-12,65.3806383262,0.0,4.06336468621,3.29711225089,23.347389061
2004-12-13,36.652782092,0.0,2.58577752759,3.29711225089,5.18830868022
2004-12-14,50.521402343,0.0,4.06336468621,6.59422450177,7.78246302033
2004-12-15,46.5589394141,0.0,0.0,4.12139031361,2.59415434011
2004-12-16,59.4369439329,0.0,3.3245711069,1.64855612544,6.48538585027
2004-12-17,46.5589394141,0.0,6.27974542415,4.12139031361,2.59415434011
2004-12-18,35.6621663597,0.0,1.47758715862,3.29711225089,0.0
2004-12-19,32.6903191631,0.0,1.47758715862,3.29711225089,0.0
2004-12-20,45.5683236819,0.0,0.738793579312,1.64855612544,6.48538585027
2004-12-21,36.652782092,0.0,2.58577752759,4.12139031361,9.07954019038
2004-12-22,44.5777079497,0.0,1.10819036897,6.59422450177,0.0
2004-12-23,29.7184719665,0.0,1.10819036897,2.47283418816,0.0
2004-12-24,29.7184719665,0.0,6.27974542415,0.0,0.0
2004-12-25,52.5026338074,0.0,2.21638073793,9.89133675266,0.0
2004-12-26,48.5401708785,0.0,1.84698394828,0.0,6.48538585027
2004-12-27,76.2774113806,0.0,1.10819036897,2.47283418816,3.89123151016
2004-12-28,34.6715506275,0.0,2.95517431725,4.12139031361,3.89123151016
2004-12-29,37.6433978242,0.0,1.84698394828,2.47283418816,0.0
2004-12-30,57.4557124685,0.0,0.0,4.94566837633,0.0
2004-12-31,99.0615732215,0.0,2.58577752759,0.0,0.0
2005-01-01,37.6433978242,0.0,2.21638073793,0.0,0.0
2005-01-02,70.3337169873,0.0,1.47758715862,3.29711225089,0.0
2005-01-03,37.6433978242,0.0,2.58577752759,3.29711225089,0.0
2005-01-04,59.4369439329,0.0,2.21638073793,3.29711225089,7.78246302033
2005-01-05,35.6621663597,0.0,2.21638073793,1.64855612544,2.59415434011
2005-01-06,51.5120180752,0.0,2.21638073793,4.94566837633,7.78246302033
2005-01-07,42.5964764853,0.0,0.738793579312,3.29711225089,9.07954019038
2005-01-08,81.2304900416,0.0,2.58577752759,2.47283418816,3.89123151016
2005-01-09,48.5401708785,0.0,0.0,0.0,3.89123151016
2005-01-10,53.4932495396,0.0,0.0,3.29711225089,0.0
2005-01-11,75.2867956484,0.0,2.95517431725,3.29711225089,5.18830868022
2005-01-12,43.5870922175,0.0,1.47758715862,1.64855612544,2.59415434011
2005-01-13,68.3524855228,0.0,0.738793579312,1.64855612544,5.18830868022
2005-01-14,56.4650967363,0.0,1.47758715862,3.29711225089,5.18830868022
2005-01-15,41.605860753,0.0,1.10819036897,2.47283418816,0.0
2005-01-16,59.4369439329,0.0,1.47758715862,3.29711225089,0.0
2005-01-17,59.4369439329,0.0,0.738793579312,5.76994643905,6.48538585027
2005-01-18,56.4650967363,0.0,0.738793579312,3.29711225089,7.78246302033
2005-01-19,47.5495551463,0.0,0.738793579312,3.29711225089,0.0
2005-01-20,50.521402343,0.0,0.738793579312,0.0,10.3766173604
2005-01-21,42.5964764853,0.0,0.0,7.41850256449,2.59415434011
2005-01-22,38.6340135564,0.0,0.0,13.1884490035,12.9707717005
2005-01-23,64.390022594,0.0,0.0,0.0,3.89123151016
2005-01-24,53.4932495396,0.0,1.47758715862,0.0,5.18830868022
