date,hustle,hustler,inflation,jobless,laid
2004-09-09,24.13486215,94.2190838903,39.6078174337,0.664529288013,43.2561995274
2004-09-10,5.3633027,111.349826416,31.686253947,1.66132322003,20.1862264461
2004-09-11,50.95137565,128.480568941,92.6318952476,0.0,31.7212129868
2004-09-12,40.22477025,62.8127225936,60.4121055963,0.0,11.5349865406
2004-09-13,0.0,79.9434651191,100.68684266,0.664529288013,23.0699730813
2004-09-14,16.0899081,108.494702662,52.3571581834,0.664529288013,17.302479811
2004-09-15,16.0899081,79.9434651191,72.4945267155,0.0,43.2561995274
2004-09-16,5.3633027,94.2190838903,60.4121055963,0.0,31.7212129868
2004-09-17,0.0,99.9293313988,128.879158605,0.0,34.6049596219
2004-09-18,58.9963296999,105.639578907,20.1373685321,0.0,43.2561995274
2004-09-19,10.7266054,74.2332176106,120.824211193,0.0,43.2561995274
2004-09-20,0.0,79.9434651191,72.4945267155,0.0,17.302479811
2004-09-21,21.4532108,59.9575988393,92.6318952476,0.0,17.302479811
2004-09-22,29.49816485,85.6537126276,84.5769478348,0.0,37.4887062571
2004-09-23,10.7266054,42.8268563138,60.4121055963,0.0,37.4887062571
2004-09-24,37.5431189,74.2332176106,76.5220004219,0.0,54.7911860681
2004-09-25,18.77155945,148.466435221,20.1373685321,0.0,43.2561995274
2004-09-26,29.49816485,125.625445187,92.6318952476,0.0,43.2561995274
2004-09-27,54.7400676855,94.8300578425,64.4395793027,0.664529288013,12.5162964479
2004-09-28,27.3700338427,76.767189682,56.3846318899,0.664529288013,29.2046917117
2004-09-29,4.56167230712,112.892926003,64.4395793027,0.0,37.5488893436
2004-09-30,13.6850169214,45.1571704012,120.824211193,2.65811715205,16.6883952638
2004-10-01,22.8083615356,36.125736321,84.5769478348,0.0,41.7209881595
2004-10-02,22.8083615356,126.440077123,92.6318952476,0.0,20.8604940798
2004-10-03,22.8083615356,45.1571704012,60.4121055963,0.0,29.2046917117
2004-10-04,27.3700338427,72.2514726419,104.714316367,0.0,25.0325928957
2004-10-05,4.56167230712,76.767189682,112.76926378,1.99358786404,33.3767905276
2004-10-06,13.6850169214,67.7357556018,112.76926378,0.664529288013,29.2046917117
2004-10-07,13.6850169214,81.2829067222,108.741790073,0.0,20.8604940798
2004-10-08,27.3700338427,49.6728874413,76.5220004219,1.32905857603,25.0325928957
2004-10-09,13.6850169214,117.408643043,64.4395793027,1.99358786404,45.8930869755
2004-10-10,13.6850169214,45.1571704012,112.76926378,0.0,62.5814822393
2004-10-11,22.8083615356,90.3143408024,116.796737486,0.0,20.8604940798
2004-10-12,0.0,108.377208963,120.824211193,0.0,75.0977786871
2004-10-13,18.2466892285,58.7043215216,124.851684899,0.0,16.6883952638
2004-10-14,0.0,85.7986237623,84.5769478348,0.664529288013,37.5488893436
2004-10-15,13.6850169214,76.767189682,88.6044215412,0.0,25.0325928957
2004-10-16,45.6167230712,90.3143408024,100.68684266,0.0,0.0
2004-10-17,9.12334461424,135.471511204,48.329684477,0.0,20.8604940798
2004-10-18,13.6850169214,76.767189682,92.6318952476,0.0,29.2046917117
2004-10-19,0.0,112.892926003,88.6044215412,0.0,54.2372846074
2004-10-20,13.6850169214,76.767189682,84.5769478348,0.0,29.2046917117
2004-10-21,4.56167230712,99.3457748826,52.3571581834,0.0,25.0325928957
2004-10-22,13.6850169214,76.767189682,92.6318952476,0.0,58.4093834233
2004-10-23,13.6850169214,158.050096404,32.2197896513,0.0,62.5814822393
2004-10-24,0.0,54.1886044814,56.3846318899,0.0,50.0651857914
2004-10-25,13.6850169214,63.2200385617,108.741790073,0.664529288013,12.5162964479
2004-10-26,4.56167230712,45.1571704012,76.5220004219,0.0,20.8604940798
2004-10-27,13.6850169214,81.2829067222,80.5494741284,0.0,41.7209881595
2004-10-28,4.56167230712,121.924360083,116.796737486,0.0,58.4093834233
2004-10-29,59.3017399926,203.207266805,157.07147455,0.0,25.0325928957
2004-10-30,50.1783953783,81.2829067222,60.4121055963,0.0,16.6883952638
2004-10-31,36.493378457,171.597247525,80.5494741284,0.0,75.0977786871
2004-11-01,31.9317061499,72.2514726419,88.6044215412,1.99358786404,25.0325928957
2004-11-02,4.56167230712,130.955794163,80.5494741284,0.0,37.5488893436
