date,unprofitable,vagabond,vagrant,abundance,accrue
2011-07-13,0.0,170.56742245,17.7778894087,9.93023842713,16.0904850167
2011-07-14,0.0,109.420610629,20.9151640103,15.3467321147,19.0160277471
2011-07-15,0.0,205.968208242,34.510020617,38.8182047606,13.1649422864
2011-07-16,0.0,183.440435466,15.6863730077,37.9154558127,8.04524250837
2011-07-17,0.0,183.440435466,24.0524386118,34.304460021,8.04524250837
2011-07-18,0.0,173.785675704,29.2812296144,27.9852173855,10.2393995561
2011-07-19,0.0,170.56742245,26.1439550128,32.4989621251,12.4335566038
2011-07-20,0.0,189.876941973,20.9151640103,22.568723698,10.2393995561
2011-07-21,0.0,164.130915943,27.1897132134,20.7632258022,6.58247114321
2011-07-22,0.0,170.56742245,36.601537018,18.9577279063,8.77662819095
2011-07-23,0.0,196.313448481,21.9609222108,22.568723698,5.11969977805
2011-07-24,0.0,189.876941973,27.1897132134,39.7209537085,2.92554273032
2011-07-25,0.0,141.603143166,31.3727460154,32.4989621251,8.04524250837
2011-07-26,0.0,212.40471475,11.5033402057,35.2072089689,4.38831409547
2011-07-27,2.69600862999,225.277727765,35.5557788175,35.2072089689,2.19415704774
2011-07-28,0.0,228.495981019,35.5557788175,37.9154558127,8.04524250837
2011-07-29,0.0,170.56742245,30.3269878149,28.8879663335,8.77662819095
2011-07-30,3.59467817332,247.805500541,18.8236476093,29.7907152814,0.0
2011-07-31,0.0,321.825325378,18.8236476093,39.7209537085,8.04524250837
2011-08-01,0.0,215.622968003,29.2812296144,35.2072089689,10.2393995561
2011-08-02,0.0,115.857117136,19.8694058098,25.2769705418,16.0904850167
2011-08-03,2.69600862999,170.56742245,29.2812296144,22.568723698,4.38831409547
2011-08-04,0.0,225.277727765,20.9151640103,22.568723698,16.0904850167
2011-08-05,2.69600862999,225.277727765,30.3269878149,31.5962131772,6.58247114321
2011-08-06,3.59467817332,112.638863882,11.5033402057,31.5962131772,8.04524250837
2011-08-07,0.0,222.059474511,30.3269878149,32.4989621251,5.11969977805
2011-08-08,0.0,263.89676681,14.6406148072,39.7209537085,8.04524250837
2011-08-09,0.0,241.368994034,30.3269878149,26.1797194897,5.85108546063
2011-08-10,0.0,135.166636659,26.1439550128,32.4989621251,12.4335566038
2011-08-11,2.69600862999,218.841221257,24.0524386118,27.9852173855,8.04524250837
2011-08-12,0.0,112.638863882,24.0524386118,23.4714726459,2.19415704774
2011-08-13,0.0,115.857117136,23.0066804113,6.31924263544,2.92554273032
2011-08-14,3.59467817332,173.785675704,49.1506354242,42.4292005523,8.04524250837
2011-08-15,0.0,115.857117136,34.510020617,35.2072089689,8.04524250837
2011-08-16,2.69600862999,212.40471475,34.510020617,32.4989621251,5.85108546063
2011-08-17,0.0,135.166636659,38.693053419,18.0549789584,8.04524250837
2011-08-18,0.0,173.785675704,27.1897132134,23.4714726459,8.04524250837
2011-08-19,0.0,160.912662689,33.4642624164,39.7209537085,4.38831409547
2011-08-20,3.59467817332,90.1110911059,14.6406148072,35.2072089689,8.04524250837
2011-08-21,0.0,135.166636659,43.9218444216,12.6384852709,8.04524250837
2011-08-22,2.69600862999,135.166636659,26.1439550128,25.2769705418,8.04524250837
2011-08-23,0.0,180.222182212,30.3269878149,30.6934642293,8.04524250837
2011-08-24,0.0,141.603143166,17.7778894087,39.7209537085,5.85108546063
2011-08-25,0.0,305.734059109,25.0981968123,51.4566900315,5.85108546063
2011-08-26,0.0,180.222182212,17.7778894087,50.5539410836,2.19415704774
2011-08-27,3.03300970874,164.130915943,41.8303280206,21.6659747501,7.31385682579
2011-08-28,0.0,173.785675704,14.6406148072,33.4017110731,0.0
2011-08-29,2.02200647249,131.948383405,19.8694058098,37.0127068647,5.85108546063
2011-08-30,0.0,122.293623644,23.0066804113,38.8182047606,9.50801387353
2011-08-31,0.0,183.440435466,26.1439550128,49.6511921356,16.0904850167
2011-09-01,0.0,151.257902928,26.1439550128,55.0676858232,13.896327969
2011-09-02,0.0,209.186461496,29.2812296144,40.6237026564,8.04524250837
2011-09-03,0.0,202.749954988,29.2812296144,12.6384852709,5.11969977805
2011-09-04,0.0,80.4563313445,29.2812296144,54.1649368752,2.92554273032
2011-09-05,3.03300970874,215.622968003,27.1897132134,46.040196344,11.7021709213
2011-09-06,0.0,186.658688719,21.9609222108,71.3171668857,21.2101847948
2011-09-07,0.0,186.658688719,18.8236476093,75.8309116253,5.85108546063
2011-09-08,5.05501618123,128.730130151,19.8694058098,60.4841795107,11.7021709213
2011-09-09,2.02200647249,196.313448481,17.7778894087,70.4144179378,12.4335566038
2011-09-10,0.0,180.222182212,24.0524386118,54.1649368752,7.31385682579
2011-09-11,3.03300970874,197.378597936,33.3382275525,60.0666678656,18.2174008238
2011-09-12,7.07702265372,148.964979575,43.0618772553,80.4464301771,8.50145371775
2011-09-13,0.0,137.792606107,31.9491347378,69.7202394868,30.3623347063
2011-09-14,0.0,93.1031122342,41.6727844406,89.0273827294,30.3623347063
2011-09-15,2.02200647249,245.792216298,19.4472994056,70.7928585559,10.9304404943
2011-09-16,2.02200647249,175.033851,41.6727844406,74.010715763,8.50145371775
2011-09-17,0.0,111.723734681,20.8363922203,45.0500008992,7.2869603295
2011-09-18,0.0,96.8272367235,23.6145778497,55.7761915895,10.9304404943
2011-09-19,2.02200647249,130.344357128,31.9491347378,107.261906903,6.07246694125
2011-09-20,0.0,119.17198366,51.3964341434,49.3404771753,23.0753743768
2011-09-21,0.0,122.896108149,36.1164131818,80.4464301771,19.431894212
2011-09-22,5.05501618123,156.413228553,45.8400628847,60.0666678656,17.0029074355
2011-09-23,0.0,107.999610192,23.6145778497,54.7035725204,14.573920659
2011-09-24,3.03300970874,230.895718341,45.8400628847,35.3964292779,7.2869603295
2011-09-25,0.0,175.033851,16.6691137762,49.3404771753,10.9304404943
2011-09-26,5.05501618123,171.309726511,50.0073413287,74.010715763,6.07246694125
2011-09-27,0.0,145.240855085,31.9491347378,96.5357162126,10.9304404943
2011-09-28,0.0,145.240855085,44.45097007,69.7202394868,21.8608809885
2011-09-29,0.0,145.240855085,73.6219191784,75.083334832,25.5043611533
2011-09-30,5.05501618123,189.930348958,51.3964341434,47.1952390372,8.50145371775
2011-10-01,0.0,156.413228553,33.3382275525,45.0500008992,7.2869603295
2011-10-02,0.0,175.033851,20.8363922203,47.1952390372,3.64348016475
2011-10-03,2.02200647249,148.964979575,38.8945988112,52.5583343824,17.0029074355
2011-10-04,0.0,126.620232638,34.7273203672,65.4297632107,13.3594272708
2011-10-05,0.0,230.895718341,22.225485035,86.8821445913,17.0029074355
2011-10-06,2.02200647249,145.240855085,41.6727844406,68.6476204178,13.3594272708
2011-10-07,0.0,175.033851,30.5600419231,54.7035725204,14.573920659
2011-10-08,3.03300970874,201.102722426,37.5055059965,32.1785720709,3.64348016475
2011-10-09,0.0,130.344357128,44.45097007,25.7428576567,3.64348016475
2011-10-10,2.02200647249,111.723734681,41.6727844406,66.5023822798,8.50145371775
2011-10-11,0.0,167.585602022,33.3382275525,78.3011920391,20.6463876003
