date,legal,lucrative,luxury,meritorious,nobility
2011-08-02,82.447220259,0.0,27.6946687863,0.0,0.0
2011-08-03,86.621763057,0.0,25.6432118392,0.0,0.0
2011-08-04,80.3599488601,0.0,27.6946687863,0.0,0.0
2011-08-05,83.4908559585,0.0,23.5917548921,0.0,0.0
2011-08-06,63.6617776684,0.0,26.6689403128,0.0,0.0
2011-08-07,64.7054133678,0.0,27.6946687863,0.0,0.0
2011-08-08,80.3599488601,0.0,24.6174833656,0.0,0.0
2011-08-09,81.4035845595,0.0,23.5917548921,0.0,0.0
2011-08-10,84.534491658,0.0,25.6432118392,0.0,0.0
2011-08-11,82.447220259,0.0,24.6174833656,0.0,0.0
2011-08-12,77.2290417616,0.0,25.6432118392,0.0,0.0
2011-08-13,66.7926847668,0.0,23.5917548921,0.0,0.0
2011-08-14,66.7926847668,0.0,27.6946687863,0.0,0.0
2011-08-15,82.447220259,0.0,25.6432118392,0.0,0.0
2011-08-16,81.4035845595,0.0,26.6689403128,0.0,0.0
2011-08-17,83.4908559585,0.0,23.5917548921,0.0,0.0
2011-08-18,78.2726774611,0.0,23.5917548921,0.0,0.0
2011-08-19,84.534491658,0.0,24.6174833656,0.0,0.0
2011-08-20,66.7926847668,0.0,22.5660264185,0.0,0.0
2011-08-21,65.7490490673,0.0,27.6946687863,0.0,0.0
2011-08-22,85.5781273575,0.0,25.6432118392,0.0,0.0
2011-08-23,75.1417703627,0.0,23.5917548921,0.0,0.0
2011-08-24,85.5781273575,0.0,23.5917548921,0.0,0.0
2011-08-25,80.3599488601,0.0,23.5917548921,0.0,0.0
2011-08-26,79.3163131606,0.0,22.3419672385,0.0,0.0
2011-08-27,59.4872348704,0.0,20.3108793077,0.0,0.0
2011-08-28,66.7926847668,0.0,26.4041431,0.0,0.0
2011-08-29,85.5781273575,0.0,20.3108793077,0.0,0.0
2011-08-30,87.6653987564,0.0,21.3264232731,0.0,0.0
2011-08-31,88.7090344559,0.0,24.3730551693,0.0,0.0
2011-09-01,89.7526701554,0.0,22.3419672385,0.0,0.0
2011-09-02,78.2726774611,0.0,24.3730551693,0.0,0.0
2011-09-03,60.5308705699,0.0,22.3419672385,0.0,0.0
2011-09-04,66.7926847668,0.0,22.3419672385,0.0,0.0
2011-09-05,77.2290417616,0.0,25.3885991347,0.0,0.0
2011-09-06,83.4908559585,0.0,21.3264232731,0.0,0.0
2011-09-07,92.8835772538,0.0,24.3730551693,0.0,0.0
2011-09-08,86.621763057,0.0,20.3108793077,0.0,0.0
2011-09-09,80.3599488601,0.0,21.3264232731,0.0,0.0
2011-09-10,65.7490490673,0.0,22.3419672385,0.0,0.0
2011-09-11,68.0602751545,0.0,23.3575112039,0.0,0.0
2011-09-12,88.3767752006,0.0,23.3575112039,0.0,0.0
2011-09-13,94.4717252145,0.0,20.3108793077,0.0,0.0
2011-09-14,94.4717252145,0.0,20.3108793077,0.0,0.0
2011-09-15,88.3767752006,0.0,22.3419672385,0.0,0.0
2011-09-16,84.3134751914,0.0,21.3264232731,0.0,0.0
2011-09-17,65.0128001476,0.0,20.3108793077,0.0,0.0
2011-09-18,65.0128001476,0.0,24.3730551693,0.0,0.0
2011-09-19,89.3926002029,0.0,24.3730551693,0.0,0.0
2011-09-20,90.4084252052,0.0,23.3575112039,0.0,0.0
2011-09-21,89.3926002029,0.0,22.3419672385,0.0,0.0
2011-09-22,88.3767752006,0.0,21.3264232731,0.0,0.0
2011-09-23,83.2976501891,0.0,20.3108793077,0.0,0.0
2011-09-24,63.9969751453,0.0,23.3575112039,0.0,0.0
2011-09-25,71.1077501614,0.0,22.3419672385,0.0,0.0
2011-09-26,93.4559002121,0.0,24.3730551693,0.0,0.0
2011-09-27,87.3609501983,0.0,22.3419672385,0.0,0.0
2011-09-28,88.3767752006,0.0,21.3264232731,0.0,0.0
2011-09-29,87.3609501983,0.0,22.3419672385,0.0,0.0
2011-09-30,86.345125196,0.0,23.3575112039,0.0,0.0
2011-10-01,72.1235751637,0.0,20.3108793077,0.0,0.0
2011-10-02,69.0761001568,0.0,25.3885991347,0.0,0.0
2011-10-03,87.3609501983,0.0,20.3108793077,0.0,0.0
2011-10-04,89.3926002029,0.0,22.3419672385,0.0,0.0
2011-10-05,91.4242502075,0.0,20.3108793077,0.0,0.0
2011-10-06,86.345125196,0.0,22.3419672385,0.0,0.0
2011-10-07,88.3767752006,0.0,21.3264232731,0.0,0.0
2011-10-08,67.0444501522,0.0,19.2953353423,0.0,0.0
