date,partnership,patron,patronage,precious,priceless
2011-05-30,43.846443163,58.0211863682,2.64709408202,50.4647709783,4.62167909775
2011-05-31,89.59925342,39.3046746365,2.64709408202,52.2670842275,7.70279849625
2011-06-01,91.5056205141,50.5345816755,0.0,46.8601444798,6.162238797
2011-06-02,76.2546837617,48.6629305023,2.64709408202,55.871710726,7.70279849625
2011-06-03,70.5355824796,54.2778840218,5.29418816404,43.2555179814,7.70279849625
2011-06-04,51.4719115392,52.4062328487,2.64709408202,57.6740239752,4.62167909775
2011-06-05,47.6591773511,52.4062328487,2.64709408202,52.2670842275,7.70279849625
2011-06-06,83.8801521379,43.0479769828,0.0,48.6624577291,4.62167909775
2011-06-07,97.2247217962,43.0479769828,0.0,50.4647709783,6.162238797
2011-06-08,76.2546837617,50.5345816755,2.64709408202,50.4647709783,6.162238797
2011-06-09,91.5056205141,39.3046746365,2.64709408202,52.2670842275,9.2433581955
2011-06-10,78.1610508558,46.7912793292,2.64709408202,57.6740239752,6.162238797
2011-06-11,40.0337089749,59.8928375413,2.64709408202,54.0693974767,4.62167909775
2011-06-12,57.1910128213,52.4062328487,0.0,50.4647709783,4.62167909775
2011-06-13,89.59925342,37.4330234633,2.64709408202,61.2786504736,6.162238797
2011-06-14,95.3183547022,46.7912793292,5.29418816404,66.6855902213,4.62167909775
2011-06-15,99.1310888902,44.919628156,2.64709408202,54.0693974767,4.62167909775
2011-06-16,68.6292153856,48.6629305023,5.29418816404,41.4532047322,6.162238797
2011-06-17,74.3483166677,59.8928375413,2.64709408202,61.2786504736,7.70279849625
2011-06-18,49.5655444451,56.149535195,2.64709408202,55.871710726,3.0811193985
2011-06-19,51.4719115392,50.5345816755,0.0,52.2670842275,6.162238797
2011-06-20,85.7865192319,50.5345816755,0.0,54.0693974767,4.62167909775
2011-06-21,87.692886326,44.919628156,2.64709408202,50.4647709783,6.162238797
2011-06-22,102.943823078,44.919628156,5.29418816404,55.871710726,7.70279849625
2011-06-23,85.7865192319,46.7912793292,2.64709408202,52.2670842275,9.2433581955
2011-06-24,83.8801521379,43.0479769828,2.64709408202,63.0809637229,6.162238797
2011-06-25,53.3782786332,59.8928375413,0.0,50.4647709783,6.162238797
2011-06-26,40.0337089749,56.149535195,2.64709408202,48.6624577291,9.2433581955
2011-06-27,87.692886326,39.3046746365,0.0,61.2786504736,7.70279849625
2011-06-28,74.3483166677,43.0479769828,0.0,54.0693974767,9.2433581955
2011-06-29,85.7865192319,54.2778840218,0.0,55.871710726,4.62167909775
2011-06-30,91.5056205141,44.919628156,2.64709408202,52.2670842275,6.162238797
2011-07-01,80.0674179498,50.5345816755,2.64709408202,55.871710726,7.70279849625
2011-07-02,32.4082405987,74.8660469267,2.64709408202,63.0809637229,4.62167909775
2011-07-03,38.1273418809,54.2778840218,0.0,46.8601444798,4.62167909775
2011-07-04,43.846443163,50.5345816755,0.0,52.2670842275,9.2433581955
2011-07-05,87.692886326,39.3046746365,0.0,63.0809637229,6.162238797
2011-07-06,106.756557266,54.2778840218,2.64709408202,54.0693974767,12.324477594
2011-07-07,95.3183547022,48.6629305023,2.64709408202,61.2786504736,9.2433581955
2011-07-08,78.1610508558,52.4062328487,0.0,59.4763372244,9.2433581955
2011-07-09,38.1273418809,56.149535195,2.64709408202,52.2670842275,7.70279849625
2011-07-10,51.4719115392,61.7644887145,2.64709408202,55.871710726,6.162238797
2011-07-11,81.9737850439,37.4330234633,0.0,64.8832769721,7.70279849625
2011-07-12,83.8801521379,50.5345816755,2.64709408202,61.2786504736,6.162238797
2011-07-13,83.8801521379,35.5613722902,2.64709408202,57.6740239752,7.70279849625
2011-07-14,99.1310888902,48.6629305023,2.64709408202,57.6740239752,7.70279849625
2011-07-15,89.59925342,52.4062328487,2.64709408202,66.6855902213,7.70279849625
2011-07-16,43.846443163,52.4062328487,2.64709408202,45.0578312306,9.2433581955
2011-07-17,49.5655444451,59.8928375413,0.0,68.4879034705,6.162238797
2011-07-18,83.8801521379,46.7912793292,2.64709408202,54.0693974767,3.0811193985
2011-07-19,85.7865192319,28.0747675975,0.0,57.6740239752,6.162238797
2011-07-20,89.59925342,37.4330234633,2.64709408202,46.8601444798,7.70279849625
2011-07-21,78.1610508558,39.3046746365,0.0,68.4879034705,12.324477594
2011-07-22,83.8801521379,50.5345816755,2.64709408202,64.8832769721,3.0811193985
2011-07-23,40.0337089749,52.4062328487,2.64709408202,41.4532047322,10.7839178947
2011-07-24,43.846443163,54.2778840218,0.0,63.0809637229,6.162238797
2011-07-25,78.1610508558,46.7912793292,5.29418816404,52.2670842275,4.62167909775
2011-07-26,83.8801521379,37.4330234633,0.0,57.6740239752,7.70279849625
2011-07-27,85.7865192319,39.3046746365,2.64709408202,66.6855902213,4.62167909775
2011-07-28,93.4119876081,50.5345816755,2.64709408202,54.0693974767,3.0811193985
2011-07-29,70.5355824796,52.4062328487,2.64709408202,59.4763372244,6.162238797
2011-07-30,45.752810257,56.149535195,0.0,63.0809637229,4.62167909775
2011-07-31,49.5655444451,46.7912793292,2.64709408202,66.6855902213,7.70279849625
2011-08-01,80.0674179498,39.3046746365,2.64709408202,52.2670842275,4.62167909775
2011-08-02,78.1610508558,37.4330234633,2.64709408202,61.2786504736,4.62167909775
2011-08-03,68.6292153856,37.4330234633,0.0,63.0809637229,7.70279849625
2011-08-04,76.2546837617,41.1763258097,2.64709408202,70.2902167198,7.70279849625
2011-08-05,74.3483166677,43.0479769828,2.64709408202,55.871710726,6.162238797
2011-08-06,47.6591773511,61.7644887145,2.64709408202,61.2786504736,7.70279849625
2011-08-07,51.4719115392,54.2778840218,0.0,59.4763372244,3.0811193985
2011-08-08,80.0674179498,46.7912793292,0.0,54.0693974767,6.162238797
2011-08-09,89.59925342,52.4062328487,2.64709408202,50.4647709783,6.162238797
2011-08-10,81.9737850439,48.6629305023,2.64709408202,59.4763372244,6.162238797
2011-08-11,80.0674179498,44.919628156,2.64709408202,63.0809637229,6.162238797
2011-08-12,87.692886326,56.149535195,5.29418816404,59.4763372244,9.2433581955
2011-08-13,55.2846457272,61.7644887145,0.0,52.2670842275,7.70279849625
2011-08-14,41.9400760689,54.2778840218,5.29418816404,54.0693974767,7.70279849625
2011-08-15,80.0674179498,44.919628156,2.64709408202,59.4763372244,6.162238797
2011-08-16,76.2546837617,33.689721117,2.64709408202,59.4763372244,3.0811193985
2011-08-17,68.6292153856,50.5345816755,2.64709408202,59.4763372244,4.62167909775
2011-08-18,80.0674179498,35.5613722902,5.29418816404,59.4763372244,1.54055969925
2011-08-19,68.6292153856,48.6629305023,2.64709408202,57.6740239752,9.2433581955
2011-08-20,36.2209747868,61.7644887145,2.64709408202,54.0693974767,6.162238797
2011-08-21,43.846443163,50.5345816755,2.64709408202,64.8832769721,3.0811193985
2011-08-22,74.3483166677,39.3046746365,0.0,64.8832769721,3.0811193985
2011-08-23,81.9737850439,43.0479769828,0.0,63.0809637229,4.62167909775
2011-08-24,83.8801521379,41.1763258097,2.64709408202,55.871710726,4.62167909775
2011-08-25,83.8801521379,39.3046746365,2.64709408202,54.0693974767,4.62167909775
2011-08-26,68.9367244259,46.7912793292,1.61766860568,66.6855902213,7.39204653978
2011-08-27,43.0854527662,52.4062328487,3.23533721136,43.2555179814,2.77201745242
2011-08-28,59.2424975535,48.6629305023,1.61766860568,54.0693974767,5.54403490483
2011-08-29,74.3224060216,35.5613722902,4.85300581703,54.0693974767,6.4680407223
2011-08-30,95.8651324047,35.5613722902,3.23533721136,63.0809637229,4.62002908736
2011-08-31,86.1709055323,44.919628156,3.23533721136,57.6740239752,3.69602326989
2011-09-01,81.8623602557,43.0479769828,1.61766860568,54.0693974767,5.54403490483
