date,expense,expensive,fine,ghetto,intervention
2008-02-10,21.8508005957,30.9645399131,120.055792327,30.0215349342,20.4446901264
2008-02-11,23.3075206354,29.4900380124,122.914263572,31.4511318358,26.2860301625
2008-02-12,18.9373605162,30.9645399131,131.48967731,31.4511318358,39.4290452438
2008-02-13,24.7642406751,33.9135437143,111.480378589,34.310325639,24.8256951535
2008-02-14,18.9373605162,35.3880456149,128.631206064,30.0215349342,23.3653601445
2008-02-15,14.5672003971,20.6430266087,117.197321081,27.1623411309,21.9050251354
2008-02-16,14.5672003971,26.5410342112,131.48967731,28.5919380325,13.1430150813
2008-02-17,16.0239204368,47.1840608199,134.348148556,32.8807287374,21.9050251354
2008-02-18,18.9373605162,30.9645399131,125.772734818,31.4511318358,23.3653601445
2008-02-19,14.5672003971,35.3880456149,114.338849835,30.0215349342,35.0480402167
2008-02-20,17.4806404765,38.3370494162,107.19267172,28.5919380325,30.6670351896
2008-02-21,20.3940805559,33.9135437143,118.626556704,30.0215349342,24.8256951535
2008-02-22,13.1104803574,33.9135437143,105.763436097,38.5991163439,23.3653601445
2008-02-23,18.9373605162,35.3880456149,108.621907343,35.7399225407,21.9050251354
2008-02-24,16.0239204368,36.8625475155,111.480378589,34.310325639,20.4446901264
2008-02-25,16.0239204368,36.8625475155,114.338849835,30.0215349342,29.2067001806
2008-02-26,18.9373605162,29.4900380124,120.055792327,32.8807287374,36.5083752257
2008-02-27,24.7642406751,33.9135437143,108.621907343,31.4511318358,33.5877052077
2008-02-28,20.3940805559,23.5920304099,112.909614212,30.0215349342,27.7463651715
2008-02-29,14.5672003971,28.0155361118,114.338849835,31.4511318358,21.9050251354
2008-03-01,11.6537603177,32.4390418137,111.480378589,37.1695194423,17.5240201083
2008-03-02,11.6537603177,38.3370494162,121.48502795,42.8879070488,20.4446901264
2008-03-03,17.4806404765,35.3880456149,112.909614212,24.3031473277,21.9050251354
2008-03-04,17.4806404765,33.9135437143,115.207834264,27.1197729552,37.9687102347
2008-03-05,20.3940805559,29.4900380124,102.116034915,30.8179238128,24.8256951535
2008-03-06,17.4806404765,26.5410342112,121.753733938,28.3524899077,20.4446901264
2008-03-07,20.3940805559,29.4900380124,121.753733938,28.3524899077,26.2860301625
2008-03-08,20.3940805559,33.9135437143,128.299633612,29.5852068603,14.6033500903
2008-03-09,20.3940805559,38.3370494162,107.352754655,39.4469424803,20.4446901264
2008-03-10,16.0239204368,29.4900380124,117.826194133,20.9561881927,17.5240201083
2008-03-11,16.0239204368,39.8115513168,111.280294459,33.2833577178,37.9687102347
2008-03-12,14.5672003971,30.9645399131,106.04357472,30.8179238128,27.7463651715
2008-03-13,24.7642406751,33.9135437143,109.971114524,32.0506407653,24.8256951535
2008-03-14,18.9373605162,35.3880456149,111.280294459,32.0506407653,21.9050251354
2008-03-15,11.6537603177,39.8115513168,125.681273742,32.0506407653,18.9843551174
2008-03-16,14.5672003971,29.4900380124,108.66193459,38.2142255278,20.4446901264
2008-03-17,26.2209607148,32.4390418137,112.589474394,25.8870560027,35.0480402167
2008-03-18,23.3075206354,32.4390418137,108.66193459,23.4216220977,43.8100502709
2008-03-19,18.9373605162,35.3880456149,107.352754655,33.2833577178,30.6670351896
2008-03-20,19.9323490446,33.7999020048,104.734394785,25.8870560027,29.2163997832
2008-03-21,15.3325761882,35.208231255,119.135374068,32.0506407653,22.2601141205
2008-03-22,16.865833807,35.208231255,119.135374068,34.5160746703,20.868856988
2008-03-23,16.865833807,42.249877506,128.299633612,35.7487916228,16.6950855904
2008-03-24,24.5321219011,39.4332190056,95.5701352414,23.4216220977,29.2163997832
2008-03-25,27.5986371387,38.0248897554,104.734394785,27.1197729552,33.3901711808
2008-03-26,19.9323490446,39.4332190056,102.116034915,28.3524899077,34.7814283133
2008-03-27,21.4656066634,46.4748652566,99.4976750458,28.3524899077,27.8251426506
2008-03-28,19.9323490446,39.4332190056,102.116034915,34.5160746703,20.868856988
2008-03-29,15.3325761882,38.0248897554,120.444554003,29.5852068603,15.3038284578
2008-03-30,19.9323490446,35.208231255,128.299633612,39.4469424803,16.6950855904
2008-03-31,24.5321219011,25.3499265036,116.517014198,30.8179238128,30.6076569157
2008-04-01,21.4656066634,35.208231255,98.188495111,24.6543390502,34.7814283133
2008-04-02,18.3990914258,35.208231255,98.188495111,29.5852068603,30.6076569157
2008-04-03,21.4656066634,38.0248897554,102.116034915,33.2833577178,29.2163997832
2008-04-04,16.865833807,38.0248897554,113.898654329,32.0506407653,26.4338855181
2008-04-05,16.865833807,36.6165605052,120.444554003,32.0506407653,12.5213141928
2008-04-06,21.4656066634,35.208231255,108.66193459,39.4469424803,22.2601141205
2008-04-07,24.5321219011,40.8415482558,120.444554003,24.6543390502,25.0426283856
2008-04-08,22.9988642823,43.6582067562,107.352754655,28.3524899077,30.6076569157
2008-04-09,24.5321219011,29.5749142542,107.352754655,35.7487916228,29.2163997832
2008-04-10,18.3990914258,33.7999020048,102.116034915,28.3524899077,18.0863427229
2008-04-11,27.5986371387,30.9832435044,123.062913872,29.5852068603,22.2601141205
2008-04-12,21.4656066634,33.7999020048,109.971114524,38.2142255278,16.6950855904
2008-04-13,26.0653795199,45.0665360064,111.280294459,34.5160746703,23.651371253
2008-04-14,24.5321219011,36.6165605052,104.734394785,28.3524899077,26.4338855181
2008-04-15,26.0653795199,33.7999020048,102.116034915,27.1197729552,40.3464568434
2008-04-16,18.3990914258,29.5749142542,108.66193459,29.5852068603,34.7814283133
2008-04-17,21.4656066634,43.6582067562,104.734394785,27.1197729552,25.0426283856
2008-04-18,10.7328033317,33.7999020048,99.4976750458,30.8179238128,27.8251426506
2008-04-19,6.13303047527,40.8415482558,107.352754655,45.6105272429,19.4775998554
2008-04-20,13.7993185694,30.9832435044,113.898654329,36.9815085753,19.4775998554
2008-04-21,18.3990914258,38.0248897554,102.116034915,32.0506407653,30.6076569157
2008-04-22,16.865833807,46.4748652566,89.0242355673,30.8179238128,30.6076569157
2008-04-23,19.9323490446,39.4332190056,94.2609553066,33.2833577178,25.0426283856
2008-04-24,21.4656066634,35.208231255,107.352754655,29.5852068603,22.2601141205
2008-04-25,16.865833807,39.4332190056,98.188495111,33.2833577178,27.8251426506
2008-04-26,6.13303047527,33.7999020048,104.734394785,38.2142255278,27.8251426506
2008-04-27,10.7328033317,30.9832435044,108.66193459,34.5160746703,16.6950855904
2008-04-28,16.865833807,36.6165605052,99.4976750458,22.1889051452,27.8251426506
2008-04-29,16.865833807,35.208231255,106.04357472,25.8870560027,34.7814283133
2008-04-30,19.9323490446,29.5749142542,98.188495111,30.8179238128,23.651371253
2008-05-01,15.3325761882,42.249877506,109.971114524,27.1197729552,25.0426283856
2008-05-02,19.9323490446,38.0248897554,99.4976750458,34.5160746703,22.2601141205
2008-05-03,7.66628809409,40.8415482558,108.66193459,33.2833577178,15.3038284578
2008-05-04,7.66628809409,35.208231255,100.806854981,34.5160746703,19.4775998554
2008-05-05,13.7993185694,30.9832435044,104.734394785,35.7487916228,29.2163997832
2008-05-06,16.865833807,40.8415482558,100.806854981,30.8179238128,30.6076569157
2008-05-07,16.865833807,30.9832435044,112.589474394,28.3524899077,25.0426283856
2008-05-08,13.7993185694,29.5749142542,104.734394785,30.8179238128,26.4338855181
