date,poverty,recession,crisis,bonus,entrepreneurial
2004-06-23,46.2425066861,1.73777777778,73.1847446908,61.394378544,0.0
2004-06-24,44.64793749,1.73777777778,36.5923723454,37.3704912877,0.0
2004-06-25,36.6750915096,4.34444444444,71.6600625098,21.3545664501,0.0
2004-06-26,23.9185379411,0.0,33.5430079833,38.7051516908,4.21220649115
2004-06-27,17.5402611568,3.47555555556,41.1664188886,30.697189272,4.21220649115
2004-06-28,30.2968147253,1.73777777778,32.0183258022,33.3665100783,2.10610324557
2004-06-29,35.0805223136,0.0,33.5430079833,46.7131141096,0.0
2004-06-30,43.0533682939,3.47555555556,67.0860159666,36.0358308845,0.0
2004-07-01,54.2153526664,3.47555555556,59.4626050613,42.7091329002,0.0
2004-07-02,19.1348303529,1.73777777778,32.0183258022,32.0318496751,0.0
2004-07-03,43.0533682939,6.95111111111,82.3328377772,62.7290389471,0.0
2004-07-04,19.1348303529,0.0,38.1170545265,44.0437933033,0.0
2004-07-05,38.2696607057,2.60666666667,30.4936436212,32.0318496751,0.0
2004-07-06,39.8642299018,3.47555555556,47.2651476128,36.0358308845,0.0
2004-07-07,28.7022455293,0.0,48.7898297939,29.3625288689,2.10610324557
2004-07-08,30.2968147253,0.0,47.2651476128,38.7051516908,0.0
2004-07-09,25.5131071371,6.08222222222,60.9872872424,50.717095319,2.10610324557
2004-07-10,39.8642299018,3.47555555556,76.234109053,33.3665100783,0.0
2004-07-11,39.8642299018,0.0,54.8885585181,57.3903973346,4.21220649115
2004-07-12,57.4044910586,0.0,51.839194156,34.7011704814,2.10610324557
2004-07-13,31.8913839214,1.73777777778,83.8575199583,29.3625288689,0.0
2004-07-14,57.4044910586,0.0,27.4442792591,48.0477745127,0.0
2004-07-15,76.5393214114,0.0,36.5923723454,36.0358308845,5.26525811394
2004-07-16,39.8642299018,1.73777777778,68.6106981477,26.6932080626,0.0
2004-07-17,22.323968745,0.0,53.3638763371,33.3665100783,0.0
2004-07-18,51.0262142743,0.0,48.7898297939,52.0517557221,0.0
2004-07-19,47.8370758821,0.0,64.0366516045,29.3625288689,4.21220649115
2004-07-20,35.0805223136,0.0,65.5613337855,32.0318496751,0.0
2004-07-21,47.8370758821,0.0,51.839194156,37.3704912877,6.31830973672
2004-07-22,46.2425066861,3.47555555556,59.4626050613,20.019906047,2.10610324557
2004-07-23,38.2696607057,3.47555555556,33.5430079833,36.0358308845,4.21220649115
2004-07-24,22.323968745,0.0,64.0366516045,61.394378544,4.21220649115
2004-07-25,44.64793749,0.0,38.1170545265,61.394378544,7.37136135951
2004-07-26,33.4859531175,1.73777777778,64.0366516045,30.697189272,0.0
2004-07-27,46.2425066861,1.73777777778,59.4626050613,41.374472497,2.10610324557
2004-07-28,41.4587990978,1.73777777778,79.2834734151,26.6932080626,2.10610324557
2004-07-29,62.1881986468,1.73777777778,62.5119694234,13.3466040313,0.0
2004-07-30,43.0533682939,3.47555555556,74.7094268719,24.0238872563,2.10610324557
2004-07-31,22.323968745,3.47555555556,64.0366516045,48.0477745127,0.0
2004-08-01,33.4859531175,12.1644444444,59.4626050613,24.0238872563,0.0
2004-08-02,31.8913839214,3.47555555556,54.8885585181,40.0398120939,0.0
2004-08-03,49.4316450782,8.68888888889,59.4626050613,40.0398120939,0.0
2004-08-04,44.64793749,1.73777777778,68.6106981477,40.0398120939,0.0
2004-08-05,46.2425066861,5.21333333333,76.234109053,33.3665100783,0.0
2004-08-06,41.4587990978,6.08222222222,50.314511975,50.717095319,0.0
2004-08-07,11.1619843725,0.0,27.4442792591,37.3704912877,0.0
2004-08-08,39.8642299018,0.0,44.2157832507,58.7250577377,0.0
2004-08-09,38.2696607057,1.73777777778,67.0860159666,24.0238872563,2.10610324557
2004-08-10,27.1076763332,3.47555555556,56.4132406992,25.3585476595,2.10610324557
2004-08-11,47.8370758821,1.73777777778,36.5923723454,32.0318496751,0.0
2004-08-12,47.8370758821,3.47555555556,67.0860159666,45.3784537064,0.0
2004-08-13,33.4859531175,0.0,32.0183258022,22.6892268532,0.0
2004-08-14,22.323968745,2.60666666667,62.5119694234,54.7210765283,3.15915486836
2004-08-15,33.4859531175,0.0,57.9379228802,32.0318496751,0.0
2004-08-16,19.1348303529,0.0,68.6106981477,29.3625288689,0.0
2004-08-17,41.4587990978,3.47555555556,80.8081555961,40.0398120939,8.4244129823
2004-08-18,28.7022455293,5.21333333333,59.4626050613,24.0238872563,0.0
2004-08-19,25.5131071371,1.73777777778,67.0860159666,34.7011704814,0.0
2004-08-20,33.4859531175,0.0,45.7404654318,28.0278684657,2.10610324557
2004-08-21,20.7293995489,0.0,65.5613337855,45.3784537064,0.0
2004-08-22,38.2696607057,2.60666666667,62.5119694234,60.0597181409,3.15915486836
2004-08-23,33.4859531175,3.47555555556,47.2651476128,30.697189272,2.10610324557
2004-08-24,47.8370758821,3.47555555556,62.5119694234,17.3505852407,2.10610324557
