date,squander,tariff,underworld,uneconomical,unemployed
2004-07-07,0.0,26.2488028866,13.1109108125,0.0,12.6290895167
2004-07-08,0.0,3.49984038488,26.221821625,0.0,0.0
2004-07-09,0.0,5.24976057732,34.0883681125,0.0,0.0
2004-07-10,0.0,6.99968076976,10.48872865,0.0,0.0
2004-07-11,0.0,0.0,68.1767362249,0.0,23.4540233881
2004-07-12,0.0,12.2494413471,18.3552751375,0.0,9.02077822619
2004-07-13,0.0,12.2494413471,36.710550275,0.0,9.02077822619
2004-07-14,0.0,0.0,83.9098291999,0.0,0.0
2004-07-15,0.0,10.4995211546,26.221821625,0.0,0.0
2004-07-16,0.0,5.24976057732,13.1109108125,0.0,9.02077822619
2004-07-17,0.0,15.749281732,55.0658254125,0.0,0.0
2004-07-18,0.0,0.0,20.9774573,0.0,7.21662258095
2004-07-19,0.0,12.2494413471,36.710550275,0.0,0.0
2004-07-20,0.0,12.2494413471,26.221821625,0.0,12.6290895167
2004-07-21,0.0,17.4992019244,18.3552751375,0.0,3.60831129047
2004-07-22,0.0,17.4992019244,20.9774573,0.0,5.41246693571
2004-07-23,0.0,22.7489625017,41.9549146,0.0,0.0
2004-07-24,0.0,13.9993615395,44.5770967625,0.0,23.4540233881
2004-07-25,0.0,0.0,0.0,0.0,7.21662258095
2004-07-26,0.0,5.24976057732,7.86654648749,0.0,5.41246693571
2004-07-27,0.0,12.2494413471,13.1109108125,0.0,9.02077822619
2004-07-28,0.0,17.4992019244,18.3552751375,0.0,0.0
2004-07-29,0.0,29.7486432715,5.244364325,0.0,9.02077822619
2004-07-30,0.0,0.0,49.8214610875,0.0,5.41246693571
2004-07-31,0.0,13.9993615395,34.0883681125,0.0,7.21662258095
2004-08-01,0.0,0.0,55.0658254125,0.0,0.0
2004-08-02,0.0,8.7496009622,57.688007575,0.0,18.0415564524
2004-08-03,0.0,29.7486432715,18.3552751375,0.0,3.60831129047
2004-08-04,0.0,33.2484836564,13.1109108125,0.0,3.60831129047
2004-08-05,0.0,12.2494413471,44.5770967625,0.0,9.02077822619
2004-08-06,0.0,13.9993615395,83.9098291999,0.0,5.41246693571
2004-08-07,0.0,6.99968076976,23.5996394625,0.0,0.0
2004-08-08,0.0,29.7486432715,10.48872865,0.0,0.0
2004-08-09,0.0,29.7486432715,26.221821625,0.0,3.60831129047
2004-08-10,0.0,24.4988826942,36.710550275,0.0,16.2374008071
2004-08-11,0.0,8.7496009622,13.1109108125,0.0,3.60831129047
2004-08-12,0.0,17.4992019244,36.710550275,0.0,9.02077822619
2004-08-13,0.0,13.9993615395,47.199278925,0.0,5.41246693571
2004-08-14,0.0,0.0,31.46618595,0.0,0.0
2004-08-15,0.0,6.99968076976,44.5770967625,0.0,0.0
2004-08-16,0.0,15.749281732,49.8214610875,0.0,3.60831129047
2004-08-17,0.0,12.2494413471,49.8214610875,0.0,9.02077822619
2004-08-18,0.0,8.7496009622,26.221821625,0.0,18.0415564524
2004-08-19,0.0,12.2494413471,36.710550275,0.0,9.02077822619
2004-08-20,0.0,13.9993615395,26.221821625,0.0,5.41246693571
2004-08-21,0.0,6.99968076976,62.9323718999,0.0,14.4332451619
2004-08-22,0.0,0.0,31.46618595,0.0,7.21662258095
2004-08-23,0.0,8.7496009622,13.1109108125,0.0,3.60831129047
2004-08-24,0.0,12.2494413471,36.710550275,0.0,3.60831129047
2004-08-25,0.0,31.4985634639,28.8440037875,0.0,12.6290895167
2004-08-26,0.0,12.2494413471,44.5770967625,0.0,9.02077822619
2004-08-27,0.0,8.7496009622,52.44364325,0.0,0.0
2004-08-28,0.0,6.99968076976,52.44364325,0.0,7.21662258095
2004-08-29,0.0,6.99968076976,173.064022725,0.0,7.21662258095
2004-08-30,0.0,0.0,23.5996394625,0.0,0.0
2004-08-31,0.0,19.2491221168,52.44364325,0.0,12.6290895167
2004-09-01,0.0,8.7496009622,159.953111912,0.0,12.6290895167
2004-09-02,0.0,15.749281732,41.9549146,0.0,9.02077822619
2004-09-03,0.0,0.0,104.8872865,0.0,5.41246693571
2004-09-04,0.0,6.99968076976,83.9098291999,0.0,7.21662258095
2004-09-05,0.0,0.0,65.5545540624,0.0,14.4332451619
2004-09-06,0.0,12.2494413471,144.220018937,0.0,5.41246693571
2004-09-07,0.0,3.49984038488,28.8440037875,0.0,19.8457120976
2004-09-08,0.0,12.2494413471,28.8440037875,0.0,12.6290895167
2004-09-09,0.0,19.2491221168,39.3327324375,0.0,3.60831129047
2004-09-10,0.0,20.9990423093,49.8214610875,0.0,3.60831129047
2004-09-11,0.0,0.0,22.9137978121,0.0,0.0
2004-09-12,0.0,9.27979998534,59.0934785681,0.0,4.62296122074
