date,unprofitable,vagabond,vagrant
2004-12-02,0.0,0.0,78.2295301427
2004-12-03,0.0,0.0,0.0
2004-12-04,0.0,56.6492476092,63.3286672583
2004-12-05,0.0,0.0,0.0
2004-12-06,0.0,0.0,111.756471632
2004-12-07,0.0,63.313864975,0.0
2004-12-08,0.0,0.0,115.481687353
2004-12-09,0.0,99.9692604869,37.2521572108
2004-12-10,0.0,109.966186536,122.932118796
2004-12-11,0.0,56.6492476092,0.0
2004-12-12,0.0,116.630803901,67.0538829794
2004-12-13,0.0,0.0,115.481687353
2004-12-14,0.0,33.323086829,74.5043144216
2004-12-15,0.0,69.9784823408,0.0
2004-12-16,0.0,0.0,40.9773729319
2004-12-17,0.0,79.9754083895,134.107765959
2004-12-18,0.0,63.313864975,70.7790987005
2004-12-19,0.0,0.0,145.283413122
2004-12-20,0.0,39.9877041947,44.702588653
2004-12-21,0.0,76.6430997066,0.0
2004-12-22,0.0,43.3200128776,0.0
2004-12-23,0.0,46.6523215605,0.0
2004-12-24,0.0,0.0,74.5043144216
2004-12-25,0.0,93.3046431211,0.0
2004-12-26,0.0,76.6430997066,85.6799615848
2004-12-27,0.0,46.6523215605,104.30604019
2004-12-28,0.0,43.3200128776,96.8556087481
2004-12-29,0.0,43.3200128776,48.427804374
2004-12-30,0.0,176.612360193,0.0
2004-12-31,0.0,226.596990437,0.0
2005-01-01,0.0,0.0,0.0
2005-01-02,0.0,296.575472778,67.0538829794
2005-01-03,0.0,69.9784823408,40.9773729319
2005-01-04,0.0,99.9692604869,0.0
2005-01-05,0.0,33.323086829,0.0
2005-01-06,0.0,103.30156917,0.0
2005-01-07,0.0,69.9784823408,40.9773729319
2005-01-08,0.0,0.0,59.6034515373
2005-01-09,0.0,56.6492476092,63.3286672583
2005-01-10,0.0,66.6461736579,37.2521572108
2005-01-11,0.0,63.313864975,70.7790987005
2005-01-12,0.0,99.9692604869,0.0
2005-01-13,0.0,66.6461736579,0.0
2005-01-14,0.0,0.0,0.0
2005-01-15,0.0,109.966186536,186.260786054
2005-01-16,0.0,113.298495218,0.0
2005-01-17,0.0,36.6553955119,40.9773729319
2005-01-18,0.0,0.0,0.0
2005-01-19,0.0,133.292347316,0.0
2005-01-20,0.0,99.9692604869,37.2521572108
2005-01-21,0.0,33.323086829,37.2521572108
2005-01-22,0.0,53.3169389263,175.085138891
2005-01-23,0.0,0.0,0.0
2005-01-24,0.0,129.960038633,37.2521572108
2005-01-25,0.0,0.0,37.2521572108
2005-01-26,0.0,33.323086829,37.2521572108
2005-01-27,0.0,33.323086829,0.0
2005-01-28,0.0,133.292347316,37.2521572108
2005-01-29,0.0,0.0,0.0
2005-01-30,0.0,49.9846302434,0.0
2005-01-31,0.0,96.636951804,70.7790987005
2005-02-01,0.0,63.313864975,70.7790987005
2005-02-02,0.0,96.636951804,37.2521572108
2005-02-03,0.0,226.596990437,0.0
2005-02-04,0.0,133.292347316,37.2521572108
2005-02-05,0.0,319.901633558,0.0
2005-02-06,0.0,0.0,59.6034515373
2005-02-07,0.0,33.323086829,0.0
2005-02-08,0.0,0.0,0.0
2005-02-09,0.0,93.3046431211,70.7790987005
2005-02-10,0.0,63.313864975,0.0
2005-02-11,0.0,133.292347316,74.5043144216
2005-02-12,0.0,0.0,59.6034515373
2005-02-13,0.0,0.0,0.0
2005-02-14,0.0,93.3046431211,0.0
2005-02-15,0.0,29.9907781461,0.0
2005-02-16,0.0,96.636951804,70.7790987005
2005-02-17,0.0,93.3046431211,33.5269414897
2005-02-18,0.0,33.323086829,37.2521572108
2005-02-19,0.0,103.30156917,0.0
2005-02-20,0.0,0.0,0.0
2005-02-21,0.0,69.9784823408,0.0
2005-02-22,0.0,93.3046431211,0.0
2005-02-23,0.0,0.0,33.5269414897
2005-02-24,0.0,93.3046431211,0.0
2005-02-25,0.0,66.6461736579,37.2521572108
2005-02-26,0.0,0.0,0.0
2005-02-27,0.0,76.6430997066,171.35992317
2005-02-28,0.0,89.9723344382,0.0
2005-03-01,0.0,0.0,100.580824469
2005-03-02,0.0,93.3046431211,33.5269414897
2005-03-03,0.0,33.323086829,0.0
2005-03-04,0.0,0.0,0.0
2005-03-05,0.0,103.30156917,0.0
2005-03-06,0.0,156.618508096,59.6034515373
2005-03-07,0.0,123.295421267,0.0
2005-03-08,0.0,119.963112584,33.5269414897
2005-03-09,0.0,0.0,70.7790987005
2005-03-10,0.0,0.0,70.7790987005
2005-03-11,0.0,66.6461736579,37.2521572108
2005-03-12,0.0,103.30156917,0.0
2005-03-13,0.0,0.0,115.481687353
2005-03-14,0.0,93.3046431211,137.83298168
2005-03-15,0.0,59.9815562921,0.0
2005-03-16,0.0,29.9907781461,67.0538829794
2005-03-17,0.0,63.313864975,0.0
2005-03-18,0.0,0.0,78.2295301427
2005-03-19,0.0,206.60313834,0.0
2005-03-20,0.0,159.950816779,119.206903075
2005-03-21,0.0,126.62772995,0.0
2005-03-22,0.0,29.9907781461,33.5269414897
2005-03-23,0.0,123.295421267,33.5269414897
2005-03-24,0.0,166.615434145,111.756471632
