date,bankruptcy,crisis,debtor,deficit,inflation,liquidation,poverty,recession
2008-08-15,,61.0569602097,,,,,34.3457932401,14.1634611814
2008-08-16,,70.2155042412,,,,,17.1728966201,16.9961534177
2008-08-17,,51.8984161783,,,,,17.1728966201,19.828845654
2008-08-18,,79.3740482726,,,,,22.8971954934,11.3307689451
2008-08-19,,64.1098082202,,,,,22.8971954934,14.1634611814
2008-08-20,,67.1626562307,,,,,22.8971954934,19.828845654
2008-08-21,,58.0041121992,,,,,25.7593449301,11.3307689451
2008-08-22,,58.0041121992,,,,,25.7593449301,19.828845654
2008-08-23,,54.9512641887,,,,,20.0350460567,16.9961534177
2008-08-24,,70.2155042412,,,,,31.4836438034,11.3307689451
2008-08-25,,61.0569602097,,,,,22.8971954934,16.9961534177
2008-08-26,,73.2683522517,,,,,28.6214943668,22.6615378903
2008-08-27,,73.2683522517,,,,,37.2079426768,45.3230757805
2008-08-28,,82.4268962831,,,,,40.0700921135,28.3269223628
2008-08-29,,61.0569602097,,,,,34.3457932401,36.8249990717
2008-08-30,,58.0041121992,,,,,17.1728966201,33.9923068354
2008-08-31,,73.2683522517,,,,,22.8971954934,31.1596145991
2008-09-01,,70.2155042412,,,,,28.6214943668,28.3269223628
2008-09-02,,61.0569602097,,,,,34.3457932401,31.1596145991
2008-09-03,,70.2155042412,,,,,37.2079426768,53.8211524894
2008-09-04,,73.2683522517,,,,,42.9322415501,36.8249990717
2008-09-05,,73.2683522517,,,,,34.3457932401,42.4903835442
2008-09-06,,58.0041121992,,,,,22.8971954934,33.9923068354
2008-09-07,,76.3212002621,,,,,25.7593449301,39.657691308
2008-09-08,,94.6382883251,,,,,40.0700921135,31.1596145991
2008-09-09,,73.2683522517,,,,,42.9322415501,33.9923068354
2008-09-10,,70.2155042412,,,,,48.6565404235,28.3269223628
2008-09-11,,85.4797442936,,,,,40.0700921135,36.8249990717
2008-09-12,,100.743984346,,,,,37.2079426768,28.3269223628
2008-09-13,,88.5325923041,,,,,22.8971954934,19.828845654
2008-09-14,,76.3212002621,,,,,25.7593449301,31.1596145991
2008-09-15,,134.325312461,,,,,45.7943909868,36.8249990717
2008-09-16,,143.483856493,,,,,37.2079426768,36.8249990717
2008-09-17,,143.483856493,,,,,45.7943909868,33.9923068354
2008-09-18,,189.27657665,,,,,48.6565404235,33.9923068354
2008-09-19,,180.118032619,,,,,45.7943909868,31.1596145991
2008-09-20,,128.21961644,,,,,17.1728966201,39.657691308
2008-09-21,,167.906640577,,,,,45.7943909868,25.4942301265
2008-09-22,,152.642400524,,,,,48.6565404235,33.9923068354
2008-09-23,,201.487968692,,,,,45.7943909868,48.1557680168
2008-09-24,,204.540816703,,,,,54.3808392968,36.8249990717
2008-09-25,,262.544928902,,,,,54.3808392968,76.4826903796
2008-09-26,,238.122144818,,,,,45.7943909868,56.6538447257
2008-09-27,,149.589552514,,,,,28.6214943668,42.4903835442
2008-09-28,,186.22372864,,,,,31.4836438034,25.4942301265
2008-09-29,,274.756320944,,,,,42.9322415501,59.4865369619
2008-09-30,,305.284801049,,,,,48.6565404235,65.1519214345
2008-10-01,,228.963600786,,,,,51.5186898602,48.1557680168
2008-10-02,,198.435120682,,,,,45.7943909868,48.1557680168
2008-10-03,,177.065184608,,,,,34.3457932401,45.3230757805
2008-10-04,,128.21961644,,,,,22.8971954934,42.4903835442
2008-10-05,,149.589552514,,,,,40.0700921135,36.8249990717
2008-10-06,,219.805056755,,,,,48.6565404235,82.1480748522
2008-10-07,,207.593664713,,,,,45.7943909868,82.1480748522
2008-10-08,,207.593664713,,,,,42.9322415501,90.6461515611
2008-10-09,,222.857904765,,,,,42.9322415501,79.3153826159
2008-10-10,,238.122144818,,,,,40.0700921135,90.6461515611
2008-10-11,,177.065184608,,,,,31.4836438034,62.3192291982
2008-10-12,,207.593664713,,,,,34.3457932401,42.4903835442
2008-10-13,,204.540816703,,,,,51.5186898602,39.657691308
2008-10-14,,186.22372864,,,,,57.2429887335,50.9884602531
2008-10-15,,149.589552514,,,,,57.2429887335,82.1480748522
2008-10-16,,177.065184608,,,,,60.1051381702,84.9807670885
2008-10-17,,146.536704503,,,,,60.1051381702,39.657691308
2008-10-18,,112.955376388,,,,,31.4836438034,39.657691308
2008-10-19,,116.008224398,,,,,31.4836438034,25.4942301265
2008-10-20,,177.065184608,,,,,51.5186898602,36.8249990717
2008-10-21,,183.170880629,,,,,51.5186898602,45.3230757805
2008-10-22,,189.27657665,,,,,68.6915864802,70.8173059071
2008-10-23,,183.170880629,,,,,51.5186898602,65.1519214345
2008-10-24,,146.536704503,,,,,40.0700921135,110.474997215
2008-10-25,,103.796832357,,,,,28.6214943668,59.4865369619
2008-10-26,,131.272464451,,,,,60.1051381702,42.4903835442
2008-10-27,,164.853792566,,,,,68.6915864802,50.9884602531
2008-10-28,,152.642400524,,,,,60.1051381702,42.4903835442
2008-10-29,,137.378160472,,,,,54.3808392968,33.9923068354
2008-10-30,,146.536704503,,,,,62.9672876069,53.8211524894
2008-10-31,,137.378160472,,,,,42.9322415501,33.9923068354
2008-11-01,,97.6911363355,,,,,48.6565404235,31.1596145991
2008-11-02,,125.16676843,,,,,37.2079426768,22.6615378903
2008-11-03,,122.113920419,,,,,60.1051381702,36.8249990717
2008-11-04,,128.21961644,,,,,54.3808392968,33.9923068354
2008-11-05,,119.061072409,,,,,51.5186898602,33.9923068354
2008-11-06,,134.325312461,,,,,54.3808392968,33.9923068354
2008-11-07,,122.113920419,,,,,48.6565404235,53.8211524894
2008-11-08,,82.4268962831,,,,,31.4836438034,33.9923068354
2008-11-09,,119.061072409,,,,,60.1051381702,25.4942301265
2008-11-10,,125.16676843,,,,,62.9672876069,45.3230757805
2008-11-11,,146.536704503,,,,,60.1051381702,45.3230757805
2008-11-12,,137.378160472,,,,,88.7266325369,36.8249990717
2008-11-13,,143.483856493,,,,,71.5537359169,62.3192291982
2008-11-14,,116.008224398,,,,,51.5186898602,50.9884602531
2008-11-15,,97.6911363355,,,,,45.7943909868,36.8249990717
2008-11-16,,112.955376388,,,,,54.3808392968,28.3269223628
2008-11-17,,122.113920419,,,,,71.5537359169,79.3153826159
2008-11-18,,149.589552514,,,,,74.4158853536,65.1519214345
2008-11-19,,146.536704503,,,,,77.2780347902,59.4865369619
2008-11-20,,143.483856493,,,,,60.1051381702,76.4826903796
2008-11-21,,122.113920419,,,,,45.7943909868,62.3192291982
2008-11-22,,94.6382883251,,,,,28.6214943668,39.657691308
2008-11-23,,109.902528377,,,,,45.7943909868,48.1557680168
2008-11-24,,152.642400524,,,,,65.8294370435,39.657691308
2008-11-25,,137.378160472,,,,,51.5186898602,42.4903835442
2008-11-26,,106.849680367,,,,,37.2079426768,39.657691308
2008-11-27,,76.3212002621,,,,,25.7593449301,25.4942301265
2008-11-28,,112.955376388,,,,,25.7593449301,25.4942301265
2008-11-29,,98.128699635,,,,,21.8030508789,25.1018871088
2008-11-30,,119.156278128,,,,,50.3147327975,20.081509687
2008-12-01,,127.917769167,,,,,63.7319948768,112.121762419
2008-12-02,,136.679260206,,,,,65.4091526367,167.345914059
2008-12-03,,126.165470959,,,,,82.1807302359,107.101384998
2008-12-04,,140.183856621,,,,,70.4406259165,65.2649064829
2008-12-05,,117.40397992,,,,,51.9918905574,90.3667935917
2008-12-06,,103.385594258,,,,,30.1888396785,73.6322021858
2008-12-07,,112.147085297,,,,,63.7319948768,58.5710699205
2008-12-08,,122.660874544,,,,,67.0863103966,58.5710699205
2008-12-09,,133.17466379,,,,,62.0548371169,63.5914473423
2008-12-10,,133.17466379,,,,,72.1177836764,53.5506924988
2008-12-11,,129.670067375,,,,,65.4091526367,58.5710699205
2008-12-12,,108.642488882,,,,,45.2832595177,43.5099376552
2008-12-13,,89.3672085961,,,,,21.8030508789,28.44880539
2008-12-14,,89.3672085961,,,,,41.9289439979,33.4691828117
2008-12-15,,129.670067375,,,,,46.9604172777,51.8772333582
2008-12-16,,112.147085297,,,,,33.5431551983,46.8568559364
2008-12-17,,103.385594258,,,,,43.6061017578,51.8772333582
2008-12-18,,101.63329605,,,,,36.8974707182,50.2037742176
2008-12-19,,82.3580157651,,,,,23.4802086388,36.8161010929
2008-12-20,,77.1011211417,,,,,13.4172620793,25.1018871088
2008-12-21,,71.8442265184,,,,,23.4802086388,25.1018871088
2008-12-22,,68.3396301029,,,,,20.125893119,33.4691828117
2008-12-23,,75.348822934,,,,,20.125893119,40.1630193741
2008-12-24,,84.1103139728,,,,,10.0629465595,23.4284279682
2008-12-25,,57.8258408563,,,,,8.38578879958,23.4284279682
2008-12-26,,78.8534193495,,,,,13.4172620793,23.4284279682
2008-12-27,,63.0827354796,,,,,13.4172620793,28.44880539
2008-12-28,,73.5965247262,,,,,13.4172620793,20.081509687
2008-12-29,,82.3580157651,,,,,23.4802086388,30.1222645306
2008-12-30,,92.8718050117,,,,,21.8030508789,41.8364785147
2008-12-31,,71.8442265184,,,,,26.8345241587,21.7549688276
2009-01-01,,71.8442265184,,,,,26.8345241587,31.7957236711
2009-01-02,,82.3580157651,,,,,15.0944198392,26.7753462494
2009-01-03,,94.6241032194,,,,,21.8030508789,30.1222645306
2009-01-04,,85.8626121806,,,,,20.125893119,20.081509687
2009-01-05,,87.6149103884,,,,,28.5116819186,30.1222645306
2009-01-06,,92.8718050117,,,,,35.2203129582,35.1426419523
2009-01-07,,98.128699635,,,,,36.8974707182,31.7957236711
2009-01-08,,101.63329605,,,,,35.2203129582,35.1426419523
2009-01-09,,92.8718050117,,,,,36.8974707182,51.8772333582
2009-01-10,,85.8626121806,,,,,21.8030508789,31.7957236711
2009-01-11,,99.8809978427,,,,,41.9289439979,36.8161010929
2009-01-12,,119.156278128,,,,,48.6375750376,36.8161010929
2009-01-13,,101.63329605,,,,,41.9289439979,45.1833967958
2009-01-14,,108.642488882,,,,,41.9289439979,35.1426419523
2009-01-15,,119.156278128,,,,,45.2832595177,45.1833967958
2009-01-16,,105.137892466,,,,,33.5431551983,38.4895602335
2009-01-17,,77.1011211417,,,,,23.4802086388,26.7753462494
2009-01-18,,92.8718050117,,,,,26.8345241587,31.7957236711
2009-01-19,,78.8534193495,,,,,28.5116819186,31.7957236711
2009-01-20,,106.890190674,,,,,43.6061017578,41.8364785147
2009-01-21,,112.147085297,,,,,46.9604172777,45.1833967958
2009-01-22,,113.899383505,,,,,51.9918905574,51.8772333582
2009-01-23,,105.137892466,,,,,38.5746284781,48.530315077
2009-01-24,,87.6149103884,,,,,25.1573663987,31.7957236711
2009-01-25,,92.8718050117,,,,,45.2832595177,30.1222645306
2009-01-26,,108.642488882,,,,,46.9604172777,55.2241516394
2009-01-27,,110.394787089,,,,,53.6690483173,61.9179882017
2009-01-28,,117.40397992,,,,,48.6375750376,56.8976107799
2009-01-29,,138.431558414,,,,,43.6061017578,50.2037742176
2009-01-30,,115.651681713,,,,,43.6061017578,55.2241516394
2009-01-31,,94.6241032194,,,,,33.5431551983,51.8772333582
2009-02-01,,117.40397992,,,,,28.5116819186,38.4895602335
2009-02-02,,105.137892466,,,,,48.6375750376,45.1833967958
2009-02-03,,115.651681713,,,,,45.2832595177,55.2241516394
