date,warfare,waste,bankrupt,bankruptcy,beggar
2004-06-13,15.0,55.0741994594,2.81935574314,42.8097823427,0.0
2004-06-14,16.0,92.8702186962,1.40967787157,62.7876807693,0.0
2004-06-15,21.0,65.8730620985,3.75914099085,85.6195646855,0.0
2004-06-16,18.0,72.352379682,3.28924836699,63.7390092658,0.0
2004-06-17,13.0,50.7546544038,3.75914099085,62.7876807693,0.0
2004-06-18,9.0,71.272493418,4.22903361471,62.7876807693,0.0
2004-06-19,9.0,38.8759055008,0.0,31.3938403847,0.0
2004-06-20,0.0,33.4764741812,0.0,35.1991543707,0.0
2004-06-21,17.0,64.7931758346,5.63871148627,55.1770527973,0.0
2004-06-22,11.0,61.5535170429,3.75914099085,56.1283812938,0.0
2004-06-23,8.0,83.1512423211,3.28924836699,61.8363522728,0.0
2004-06-24,19.0,71.272493418,1.40967787157,71.3496372379,0.0
2004-06-25,5.0,69.1127208902,4.22903361471,62.7876807693,0.0
2004-06-26,14.0,65.8730620985,0.0,21.8805554196,0.0
2004-06-27,22.0,46.4351093481,2.81935574314,49.4690818183,0.0
2004-06-28,7.0,73.4322659459,0.939785247712,74.2036227274,0.0
2004-06-29,5.0,92.8702186962,0.0,60.8850237763,0.0
2004-06-30,7.0,61.5535170429,2.34946311928,79.9115937064,0.0
2004-07-01,10.0,58.3138582511,5.63871148627,56.1283812938,0.0
2004-07-02,8.0,79.9115835293,7.04838935784,60.8850237763,0.0
2004-07-03,15.0,66.9529483624,5.63871148627,43.7611108392,0.0
2004-07-04,23.0,56.1540857233,1.40967787157,21.8805554196,0.0
2004-07-05,5.0,98.2696500158,1.40967787157,44.7124393357,0.0
2004-07-06,16.0,95.0299912241,5.63871148627,78.9602652099,0.0
2004-07-07,8.0,89.6305599045,1.40967787157,87.5222216785,0.0
2004-07-08,26.0,89.6305599045,1.40967787157,91.3275356645,0.0
2004-07-09,14.0,71.272493418,0.939785247712,69.4469802449,0.0
2004-07-10,20.0,68.0328346263,0.0,38.0531398602,0.0
2004-07-11,17.0,52.9144269316,2.81935574314,32.3451688812,0.0
