date,radical,ruin,segregation,shortage,steal
2012-03-05,64.7212876198,40.2896048147,74.8925800039,64.772462229,72.7072837401
2012-03-06,56.7730593156,26.8597365431,69.5431100036,69.9542592073,65.7827805267
2012-03-07,59.0439816882,29.3015307743,56.1694350029,56.9997667615,60.0123611823
2012-03-08,64.7212876198,26.8597365431,64.1936400033,80.3178531639,66.9368643956
2012-03-09,68.1276711787,29.3015307743,69.5431100036,59.5906652506,77.3236192156
2012-03-10,36.334757962,37.8478105835,26.7473500014,49.227071294,70.3991160023
2012-03-11,40.8766027072,34.1851192367,42.7957600022,54.4088682723,81.9399546912
2012-03-12,49.9602921977,29.3015307743,66.8683750035,64.772462229,64.6286966578
2012-03-13,63.5858264335,21.9761480808,56.1694350029,51.8179697832,76.1695353467
2012-03-14,59.0439816882,32.9642221211,58.8441700031,56.9997667615,60.0123611823
2012-03-15,51.095753384,34.1851192367,50.8199650026,59.5906652506,64.6286966578
2012-03-16,38.6056803346,26.8597365431,53.4947000028,75.1360561856,69.2450321334
2012-03-17,34.0638355894,41.5105019303,29.4220850015,54.4088682723,81.9399546912
2012-03-18,43.1475250799,30.5224278899,29.4220850015,51.8179697832,87.7103740356
2012-03-19,57.9085205019,35.4060163523,53.4947000028,67.3633607181,66.9368643956
2012-03-20,57.9085205019,26.8597365431,64.1936400033,80.3178531639,62.3205289201
2012-03-21,52.2312145703,36.6269134679,69.5431100036,85.4996501422,72.7072837401
2012-03-22,52.2312145703,34.1851192367,72.2178450038,82.9087516531,56.5501095756
2012-03-23,55.6375981293,26.8597365431,58.8441700031,69.9542592073,69.2450321334
2012-03-24,36.334757962,36.6269134679,21.3978800011,41.4543758265,71.5531998712
2012-03-25,52.2312145703,26.8597365431,37.446290002,59.5906652506,71.5531998712
2012-03-26,59.0439816882,31.7433250055,56.1694350029,75.1360561856,71.5531998712
2012-03-27,54.502136943,25.6388394276,61.5189050032,64.772462229,66.9368643956
2012-03-28,62.4503652472,32.9642221211,74.8925800039,59.5906652506,53.0878579689
2012-03-29,63.5858264335,36.6269134679,64.1936400033,67.3633607181,62.3205289201
2012-03-30,47.6893698251,34.1851192367,48.1452300025,72.5451576964,68.0909482645
2012-03-31,32.928374403,31.7433250055,13.3736750007,36.2725788482,55.3960257067
2012-04-01,49.9602921977,35.4060163523,26.7473500014,56.9997667615,76.1695353467
2012-04-02,56.7730593156,29.3015307743,61.5189050032,59.5906652506,58.8582773134
2012-04-03,54.502136943,30.5224278899,58.8441700031,72.5451576964,76.1695353467
2012-04-04,64.7212876198,32.9642221211,42.7957600022,80.3178531639,70.3991160023
2012-04-05,53.3666757567,26.8597365431,56.1694350029,59.5906652506,63.474612789
2012-04-06,43.1475250799,36.6269134679,37.446290002,59.5906652506,78.4777030845
2012-04-07,43.1475250799,39.0687076991,21.3978800011,59.5906652506,75.0154514779
2012-04-08,48.8248310114,29.3015307743,48.1452300025,49.227071294,75.0154514779
2012-04-09,44.2829862662,36.6269134679,53.4947000028,64.772462229,60.0123611823
2012-04-10,63.5858264335,28.0806336587,64.1936400033,62.1815637398,81.9399546912
2012-04-11,61.3149040608,30.5224278899,61.5189050032,64.772462229,75.0154514779
2012-04-12,55.6375981293,31.7433250055,61.5189050032,56.9997667615,60.0123611823
2012-04-13,48.8248310114,24.417942312,77.567315004,51.8179697832,63.474612789
2012-04-14,43.1475250799,30.5224278899,29.4220850015,36.2725788482,75.0154514779
2012-04-15,55.6375981293,51.2776788551,45.4704950024,51.8179697832,85.4022062979
2012-04-16,59.0439816882,32.9642221211,64.1936400033,77.7269546747,57.7041934445
2012-04-17,69.263132365,26.8597365431,72.2178450038,90.6814471205,69.2450321334
2012-04-18,74.9404382966,23.1970451964,64.1936400033,72.5451576964,56.5501095756
2012-04-19,73.8049771103,36.6269134679,96.290460005,64.772462229,73.861367609
2012-04-20,52.2312145703,23.1970451964,69.5431100036,67.3633607181,71.5531998712
2012-04-21,46.5539086388,32.9642221211,21.3978800011,59.5906652506,80.7858708223
2012-04-22,49.9602921977,39.0687076991,40.1210250021,56.9997667615,72.7072837401
2012-04-23,62.4503652472,31.7433250055,77.567315004,77.7269546747,79.6317869534
2012-04-24,65.8567488061,29.3015307743,61.5189050032,88.0905486314,78.4777030845
2012-04-25,65.8567488061,29.3015307743,74.8925800039,69.9542592073,66.9368643956
2012-04-26,65.8567488061,30.5224278899,90.9409900047,77.7269546747,75.0154514779
2012-04-27,61.3149040608,34.1851192367,58.8441700031,56.9997667615,73.861367609
2012-04-28,31.7929132167,40.2896048147,32.0968200017,36.2725788482,80.7858708223
2012-04-29,49.9602921977,26.8597365431,40.1210250021,51.8179697832,109.637967545
2012-04-30,68.1276711787,29.3015307743,72.2178450038,54.4088682723,66.9368643956
2012-05-01,71.5340547377,36.6269134679,74.8925800039,59.5906652506,78.4777030845
2012-05-02,71.5340547377,29.3015307743,66.8683750035,56.9997667615,68.0909482645
2012-05-03,66.9922099924,25.6388394276,69.5431100036,64.772462229,68.0909482645
2012-05-04,57.9085205019,32.9642221211,58.8441700031,51.8179697832,63.474612789
2012-05-05,38.6056803346,42.7313990459,21.3978800011,59.5906652506,66.9368643956
2012-05-06,48.8248310114,31.7433250055,37.446290002,41.4543758265,81.9399546912
2012-05-07,59.0439816882,42.7313990459,77.567315004,62.1815637398,93.4807933801
2012-05-08,74.9404382966,34.1851192367,85.5915200045,72.5451576964,69.2450321334
2012-05-09,66.9922099924,26.8597365431,72.2178450038,59.5906652506,76.1695353467
2012-05-10,65.8567488061,28.0806336587,80.2420500042,44.0452743157,105.021632069
2012-05-11,53.3666757567,25.6388394276,64.1936400033,49.227071294,85.4022062979
2012-05-12,43.1475250799,35.4060163523,40.1210250021,31.0907818699,81.9399546912
2012-05-13,38.6056803346,37.8478105835,34.7715550018,44.0452743157,100.405296593
2012-05-14,54.502136943,31.7433250055,56.1694350029,62.1815637398,76.1695353467
2012-05-15,55.6375981293,31.7433250055,58.8441700031,46.6361728048,71.5531998712
2012-05-16,65.8567488061,30.5224278899,72.2178450038,62.1815637398,88.8644579045
2012-05-17,59.0439816882,29.3015307743,74.8925800039,56.9997667615,70.3991160023
2012-05-18,56.7730593156,29.3015307743,53.4947000028,41.4543758265,72.7072837401
