date,privileged,productive,productivity,profit,profitable
2011-03-08,1.76961322672,9.83125,12.5543132199,102.077467209,5.90846375501
2011-03-09,3.53922645344,6.55416666667,10.6228804168,102.077467209,5.90846375501
2011-03-10,5.30883968017,4.915625,10.6228804168,99.9056062048,5.90846375501
2011-03-11,3.53922645344,8.19270833333,7.72573121223,74.9292046536,4.92371979584
2011-03-12,0.0,4.915625,6.7600148107,53.2105946091,4.92371979584
2011-03-13,5.30883968017,6.55416666667,4.82858200764,65.1558301336,4.92371979584
2011-03-14,1.76961322672,6.55416666667,8.69144761376,96.6478146981,4.92371979584
2011-03-15,3.53922645344,6.55416666667,8.69144761376,93.3900231914,5.90846375501
2011-03-16,5.30883968017,9.83125,9.65716401529,93.3900231914,3.93897583668
2011-03-17,3.53922645344,8.19270833333,9.65716401529,79.2729266625,3.93897583668
2011-03-18,3.53922645344,6.55416666667,9.65716401529,81.4447876669,3.93897583668
2011-03-19,3.53922645344,4.915625,8.69144761376,53.2105946091,3.93897583668
2011-03-20,3.53922645344,4.915625,7.72573121223,78.1869961603,3.93897583668
2011-03-21,3.53922645344,6.55416666667,10.6228804168,86.8744401781,2.95423187751
2011-03-22,3.53922645344,6.55416666667,10.6228804168,89.0463011825,7.87795167335
2011-03-23,3.53922645344,9.83125,10.6228804168,98.8196757026,4.92371979584
2011-03-24,3.53922645344,4.915625,11.5885968183,89.0463011825,4.92371979584
2011-03-25,3.53922645344,11.4697916667,8.69144761376,81.4447876669,5.90846375501
2011-03-26,1.76961322672,6.55416666667,5.79429840917,65.1558301336,1.96948791834
2011-03-27,1.76961322672,3.27708333333,10.6228804168,62.9839691291,3.93897583668
2011-03-28,3.53922645344,4.915625,12.5543132199,106.421189218,2.95423187751
2011-03-29,1.76961322672,6.55416666667,12.5543132199,90.1322316848,3.93897583668
2011-03-30,5.30883968017,4.915625,11.5885968183,96.6478146981,3.93897583668
2011-03-31,5.30883968017,6.55416666667,9.65716401529,91.218162187,4.92371979584
2011-04-01,3.53922645344,6.55416666667,10.6228804168,78.1869961603,4.92371979584
2011-04-02,1.76961322672,8.19270833333,5.79429840917,60.8121081247,2.95423187751
2011-04-03,3.53922645344,9.83125,5.79429840917,60.8121081247,3.93897583668
2011-04-04,3.53922645344,9.83125,12.5543132199,92.3040926892,7.87795167335
2011-04-05,5.30883968017,11.4697916667,10.6228804168,105.335258716,4.92371979584
2011-04-06,7.07845290689,6.55416666667,13.5200296214,93.3900231914,4.92371979584
2011-04-07,3.53922645344,8.19270833333,9.65716401529,85.7885096759,4.92371979584
2011-04-08,3.53922645344,9.83125,7.72573121223,90.1322316848,3.93897583668
2011-04-09,3.53922645344,6.55416666667,5.79429840917,69.4995521425,5.90846375501
2011-04-10,5.30883968017,8.19270833333,6.7600148107,72.7573436491,4.92371979584
2011-04-11,1.76961322672,9.83125,9.65716401529,86.8744401781,3.93897583668
2011-04-12,5.30883968017,11.4697916667,7.72573121223,97.7337452003,2.95423187751
2011-04-13,5.30883968017,8.19270833333,12.5543132199,97.7337452003,4.92371979584
2011-04-14,3.53922645344,4.915625,10.6228804168,97.7337452003,5.90846375501
2011-04-15,1.76961322672,8.19270833333,11.5885968183,76.0151351558,5.90846375501
2011-04-16,3.53922645344,6.55416666667,3.86286560612,59.7261776224,3.93897583668
2011-04-17,3.53922645344,3.27708333333,7.72573121223,80.3588571647,3.93897583668
2011-04-18,1.76961322672,6.55416666667,14.4857460229,95.5618841959,2.95423187751
2011-04-19,3.53922645344,13.1083333333,11.5885968183,94.4759536937,6.89320771418
2011-04-20,3.53922645344,8.19270833333,9.65716401529,95.5618841959,4.92371979584
2011-04-21,3.53922645344,9.83125,11.5885968183,89.0463011825,4.92371979584
2011-04-22,1.76961322672,6.55416666667,6.7600148107,70.5854826447,3.93897583668
2011-04-23,1.76961322672,3.27708333333,6.7600148107,68.4136216402,4.92371979584
2011-04-24,5.30883968017,4.915625,6.7600148107,65.1558301336,3.93897583668
2011-04-25,3.53922645344,4.915625,9.65716401529,100.991536707,5.90846375501
2011-04-26,3.53922645344,9.83125,14.4857460229,108.593050223,7.87795167335
2011-04-27,1.76961322672,9.83125,10.6228804168,89.0463011825,6.89320771418
2011-04-28,3.53922645344,8.19270833333,8.69144761376,95.5618841959,5.90846375501
2011-04-29,3.53922645344,9.83125,10.6228804168,73.8432741514,3.93897583668
2011-04-30,3.53922645344,3.27708333333,6.7600148107,64.0698996313,4.92371979584
2011-05-01,1.76961322672,4.915625,9.65716401529,66.2417606358,3.93897583668
2011-05-02,5.30883968017,8.19270833333,9.65716401529,79.2729266625,4.92371979584
2011-05-03,7.07845290689,11.4697916667,11.5885968183,90.1322316848,4.92371979584
2011-05-04,1.76961322672,13.1083333333,12.5543132199,99.9056062048,3.93897583668
2011-05-05,3.53922645344,8.19270833333,10.6228804168,87.9603706803,4.92371979584
2011-05-06,3.53922645344,6.55416666667,10.6228804168,67.327691138,4.92371979584
2011-05-07,5.30883968017,4.915625,7.72573121223,61.8980386269,4.92371979584
2011-05-08,5.30883968017,4.915625,5.79429840917,58.6402471202,7.87795167335
2011-05-09,7.07845290689,8.19270833333,11.5885968183,94.4759536937,3.93897583668
2011-05-10,3.53922645344,6.55416666667,15.4514624245,92.3040926892,5.90846375501
2011-05-11,3.53922645344,14.746875,9.65716401529,94.4759536937,4.92371979584
2011-05-12,5.30883968017,6.55416666667,8.69144761376,86.8744401781,3.93897583668
2011-05-13,5.30883968017,8.19270833333,8.69144761376,76.0151351558,5.90846375501
2011-05-14,3.53922645344,6.55416666667,3.86286560612,54.2965251113,2.95423187751
2011-05-15,1.76961322672,4.915625,6.7600148107,62.9839691291,5.90846375501
2011-05-16,3.53922645344,4.915625,8.69144761376,90.1322316848,3.93897583668
2011-05-17,5.30883968017,8.19270833333,7.72573121223,81.4447876669,5.90846375501
2011-05-18,3.53922645344,3.27708333333,14.4857460229,95.5618841959,7.87795167335
2011-05-19,5.30883968017,4.915625,7.72573121223,81.4447876669,3.93897583668
2011-05-20,5.30883968017,8.19270833333,11.5885968183,71.6714131469,3.93897583668
2011-05-21,3.53922645344,4.915625,3.86286560612,54.2965251113,2.95423187751
2011-05-22,3.53922645344,8.19270833333,6.7600148107,59.7261776224,4.92371979584
2011-05-23,1.76961322672,8.19270833333,7.72573121223,76.0151351558,2.95423187751
2011-05-24,1.76961322672,9.83125,11.5885968183,83.6166486714,6.89320771418
2011-05-25,1.76961322672,6.55416666667,6.7600148107,83.6166486714,5.90846375501
2011-05-26,1.76961322672,4.915625,10.6228804168,71.6714131469,4.92371979584
2011-05-27,1.76961322672,8.19270833333,4.82858200764,68.4136216402,2.95423187751
2011-05-28,3.53922645344,4.915625,5.79429840917,44.5231505913,2.95423187751
2011-05-29,1.76961322672,4.915625,1.93143280306,45.6090810935,2.95423187751
2011-05-30,1.76961322672,1.63854166667,4.82858200764,55.3824556135,6.89320771418
2011-05-31,3.53922645344,3.27708333333,4.82858200764,77.101065658,5.90846375501
2011-06-01,3.53922645344,9.83125,13.5200296214,83.6166486714,4.92371979584
2011-06-02,3.53922645344,6.55416666667,7.72573121223,87.9603706803,3.93897583668
2011-06-03,0.0,8.19270833333,9.65716401529,72.7573436491,5.90846375501
2011-06-04,0.0,4.915625,4.82858200764,49.9528031024,3.93897583668
2011-06-05,3.53922645344,4.915625,6.7600148107,56.4683861158,4.92371979584
2011-06-06,3.53922645344,9.83125,9.65716401529,81.4447876669,4.92371979584
